rule,type,nlc,dc,sql,link
"Countries should identify, assess, and understand the money laundering and terrorist financing risks for the country, and should take action, including designating an authority or mechanism to coordinate actions to assess risks, and apply resources, aimed at ensuring the risks are mitigated effectively.",D,"Verify that countries identify, assess, and understand the money laundering and terrorist financing risks for the country, and take action, including designating an authority or mechanism to coordinate actions to assess risks, and apply resources, aimed at ensuring the risks are mitigated effectively.",,,FALSE
"The risk-based approach allows countries, within the framework of the FATF requirements, to adopt a more flexible set of measures, in order to target their resources more effectively and apply preventive measures that are proportionate to the nature of risks, in order to focus their efforts in the most effective way.",O,"Verify that countries, within the framework of the FATF requirements, adopt a more flexible set of measures to target their resources more effectively and apply preventive measures that are proportionate to the nature of risks, in order to focus their efforts in the most effective way.",,,FALSE
"The FATF Standards comprise the Recommendations themselves and their Interpretive Notes, together with the applicable definitions in the Glossary.",O,"Verify that the FATF Standards comprise the Recommendations themselves and their Interpretive Notes, together with the applicable definitions in the Glossary.",,,FALSE
"The measures set out in the FATF Standards should be implemented by all members of the FATF and the FSRBs, and their implementation is assessed rigorously through Mutual Evaluation processes, and through the assessment processes of the International Monetary Fund and the World Bank  on the basis of the FATF’s common assessment methodology.",D,"Verify that the measures set out in the FATF Standards are implemented by all members of the FATF and the FSRBs, and that their implementation is assessed rigorously through Mutual Evaluation processes, and through the assessment processes of the International Monetary Fund and the World Bank on the basis of the FATF’s common assessment methodology.",,,FALSE
"These examples are not mandatory elements of the FATF Standards, and are included for guidance only.",O,Verify that these examples are not mandatory elements of the FATF Standards and are included for guidance only.,,,FALSE
"These other documents are not mandatory for assessing compliance with the Standards, but countries may find it valuable to have regard to them when considering how best to implement the FATF Standards.",D,Verify that other documents are not mandatory for assessing compliance with the Standards.,,,FALSE
"Going forward and in accordance with its mandate, the FATF will continue to consider changes to the standards, as appropriate, in light of new information regarding emerging threats and vulnerabilities to the global financial system.",P,"Verify that, in accordance with its mandate, the FATF continues to consider changes to the standards, as appropriate, in light of new information regarding emerging threats and vulnerabilities to the global financial system.",,,FALSE
"The FATF calls upon all countries to implement effective measures to bring their national systems for combating money laundering, terrorist financing and the financing of proliferation into compliance with the revised FATF Recommendations.",D,"Verify that all countries have implemented effective measures to bring their national systems for combating money laundering, terrorist financing and the financing of proliferation into compliance with the revised FATF Recommendations.",,,FALSE
Countries should apply a risk-based approach (RBA) to ensure that measures to prevent or mitigate money laundering and terrorist financing are proportionate to the risks identified. ,D,Verify that countries apply a risk-based approach (RBA) to ensure that measures to prevent or mitigate money laundering and terrorist financing are proportionate to the risks identified.,"[""r1.Is_Laundering is null""]",SELECT * FROM samld r1 WHERE r1.Is_Laundering is null;,TRUE
This approach should be an essential foundation to efficient allocation of resources across the anti-money laundering and countering the financing of terrorism (AML/CFT) regime and the implementation of risk-based measures throughout the FATF Recommendations.,D,Verify that this approach is an essential foundation to efficient allocation of resources across the anti-money laundering and countering the financing of terrorism (AML/CFT) regime and the implementation of risk-based measures throughout the FATF Recommendations.,,,FALSE
"Based on that assessment, countries should apply a risk-based approach (RBA) to ensure that measures to prevent or mitigate money laundering and terrorist financing are proportionate to the risks identified.",D,Verify that countries apply a risk-based approach (RBA) to ensure that measures to prevent or mitigate money laundering and terrorist financing are proportionate to the risks identified.,"[""r1.Is_Laundering is null""]",SELECT * FROM samld r1 WHERE r1.Is_Laundering is null;,TRUE
This approach should be an essential foundation to efficient allocation of resources across the anti-money laundering and countering the financing of terrorism (AML/CFT) regime and the implementation of risk-based measures throughout the FATF Recommendations.,D,Verify that this approach is an essential foundation to efficient allocation of resources across the anti-money laundering and countering the financing of terrorism (AML/CFT) regime and the implementation of risk-based measures throughout the FATF Recommendations.,,,FALSE
"Where countries identify higher risks, they should ensure that their AML/CFT regime adequately addresses such risks.",D,"Verify that for every country that identifies higher risks, its AML/CFT regime adequately addresses those risks.",,,FALSE
"Where countries identify lower risks, they should allow and encourage simplified measures as appropriate.",D,"Verify that where countries identify lower risks, they allow and encourage simplified measures as appropriate.",,,FALSE
"Countries should also identify, assess, and understand the proliferation financing risks for the country. ",D,"Verify that countries identify, assess, and understand the proliferation financing risks for the country.",,,FALSE
"In the context of Recommendation 1, “proliferation financing risk” refers strictly and only to the potential breach, non-implementation or evasion of the targeted financial sanctions obligations referred to in Recommendation 7.",O,"Verify that in the context of Recommendation 1, the term “proliferation financing risk” refers strictly and only to the potential breach, non-implementation or evasion of the targeted financial sanctions obligations referred to in Recommendation 7.",,,FALSE
"Countries should take proportionate action aimed at ensuring that these risks are mitigated effectively, including designating an authority or mechanism to coordinate actions to assess risks, and allocate resources efficiently for this purpose. ",D,"Verify that countries take proportionate action aimed at ensuring that risks are mitigated effectively, including designating an authority or mechanism to coordinate actions to assess risks and allocating resources efficiently for this purpose.",,,FALSE
"Where countries identify higher risks, they should ensure that they adequately address such risks.",D,"Verify that where countries identify higher risks, they adequately address such risks.",,,FALSE
"Where countries identify lower risks, they should ensure that the measures applied are proportionate to the level of proliferation financing risk, while still ensuring full implementation of the targeted financial sanctions as required in Recommendation 7.",D,"Verify that where countries identify lower risks, the measures applied are proportionate to the level of proliferation financing risk, while still ensuring full implementation of the targeted financial sanctions as required in Recommendation 7.",,,FALSE
"Countries should require financial institutions and designated non-financial businesses and professions (DNFBPs) to identify, assess and take effective and risk-based action to mitigate their money laundering, terrorist financing and proliferation financing risks.",D,"Verify that countries require financial institutions and designated non-financial businesses and professions (DNFBPs) to identify, assess and take effective and risk-based action to mitigate their money laundering, terrorist financing and proliferation financing risks.",,,FALSE
"Countries should have national AML/CFT/CPF policies, informed by the risks1 identified, which should be regularly reviewed, and should designate an authority or have a coordination or other mechanism that is responsible for such policies.",D,"Verify that countries have national AML/CFT/CPF policies that are informed by identified risks, are regularly reviewed, and that an authority has been designated or a coordination or other mechanism is in place which is responsible for such policies.",,,FALSE
"Countries should ensure that policy-makers, the financial intelligence unit (FIU), law enforcement authorities, supervisors and other relevant competent authorities, at the policymaking and operational levels, have effective mechanisms in place which enable them to cooperate, and, where appropriate, coordinate and exchange information domestically with each other concerning the development and implementation of policies and activities to combat money laundering, terrorist financing and the financing of proliferation of weapons of mass destruction.",D,"Verify that policy-makers, the financial intelligence unit (FIU), law enforcement authorities, supervisors and other relevant competent authorities, at the policy-making and operational levels, have effective mechanisms in place which enable them to cooperate, and, where appropriate, coordinate and exchange information domestically with each other concerning the development and implementation of policies and activities to combat money laundering, terrorist financing and the financing of proliferation of weapons of mass destruction.",,,FALSE
This should include cooperation and coordination between relevant authorities to ensure the compatibility of AML/CFT/CPF requirements with Data Protection and Privacy rules and other similar provisions (e.g. data security/localisation).,D,Verify that there is cooperation and coordination between relevant authorities to ensure the compatibility of AML/CFT/CPF requirements with Data Protection and Privacy rules and other similar provisions (e.g. data security/localisation).,,,FALSE
"(Proliferation financing risk refers strictly and only to the potential breach, non-implementation or evasion of the targeted financial sanctions obligations referred to in Recommendation 7)",O,"Verify that proliferation financing risk refers strictly and only to the potential breach, non-implementation or evasion of the targeted financial sanctions obligations referred to in Recommendation 7.",,,FALSE
Countries should criminalize money laundering on the basis of the Vienna Convention and the Palermo Convention.,D,Verify that countries criminalize money laundering on the basis of the Vienna Convention and the Palermo Convention.,,,FALSE
"Countries should apply the crime of money laundering to all serious offences, with a view to including the widest range of predicate offences.",D,"Verify that countries apply the crime of money laundering to all serious offences, with a view to including the widest range of predicate offences.",,,FALSE
