rule,type,nlc,dc,sql,link
The tax record management system serves as the central repository for individual taxpayer information within our organization's financial processing infrastructure.,O,Verify that all the tax record management system serves as the central repository for individual taxpayer information within the organization's financial processing infrastructure.,,,FALSE
"This comprehensive database maintains detailed records of taxpayer demographics, contact information, geographic data, marital status, dependency information, and critical tax calculation parameters.",O,"Verify that the database maintains detailed all records of taxpayer demographics, contact information, geographic data, marital status, dependency information, and critical tax calculation parameters.",,,FALSE
"The system supports daily operations across multiple departments, including payroll processing, tax compliance, audit functions, and financial reporting activities.",O,"Verify that the system supports all daily operations across multiple departments, including payroll processing, tax compliance, audit functions, and financial reporting activities.",,,FALSE
Staff members regularly interact with this data through various interfaces and workflows.,O,Verify that all staff members regularly interact with this data through various interfaces and workflows.,,,FALSE
Each person is uniquely identified by area code and phone number.,O,Verify that each person is uniquely identified by their area code and phone number.,"[""t1.areacode = t2.areacode"", ""t1.phone = t2.phone""]","SELECT * FROM tax t1, tax t2 WHERE t1.areacode = t2.areacode AND t1.phone = t2.phone",TRUE
"The dataset captures essential demographic information including first and last names, gender classification, and complete contact details.",O,"Verify that the dataset captures all essential demographic information including first and last names, gender classification, and complete contact details.",,,FALSE
"Geographic data encompasses city, state, and ZIP code information, which proves invaluable for regional analysis and compliance reporting.",O,"Verify that all geographic data encompasses city, state, and ZIP code information.",,,FALSE
"Financial data includes salary information, tax rates, and various exemption amounts that directly impact tax calculations.",O,"Verify that all financial data includes salary information, tax rates, and various exemption amounts that directly impact tax calculations.",,,FALSE
Geographic consistency represents a fundamental aspect of data quality within the system.,O,Verify that all geographic data is consistent.,,,FALSE
Two persons with the same ZIP code must live in the same state.,O,Verify that any two persons with the same ZIP code live in the same state.,"[""t1.zip = t2.zip"", ""t1.state != t2.state""]","SELECT * FROM tax t1, tax t2 WHERE t1.zip = t2.zip AND t1.state != t2.state",TRUE
This relationship reflects the standardized postal system structure where ZIP codes are assigned within specific state boundaries.,O,Verify that all ZIP codes are assigned within specific state boundaries.,,,FALSE
"For instance, all records showing ZIP code 80202 will consistently show Colorado as the state, maintaining data integrity across the entire dataset.",O,"Verify that for every record with a ZIP code of 80202, the state is Colorado.",,,FALSE
Location-specific validation extends beyond general geographic rules to include city-state relationships.,O,Verify that the all location-specific validation checks for the correct city-state relationship in addition to general geographic rules.,,,FALSE
"If a person lives in Denver, their state must be Colorado.",O,"Verify that if all person lives in Denver, their state is Colorado.","[""t1.city = 'DENVER'"", ""t1.state != 'CO'""]",SELECT * FROM tax t1 WHERE t1.city = 'DENVER' AND t1.state != 'CO',TRUE
This type of validation ensures that well-known city-state pairs remain consistent throughout the database.,O,Verify that all well-known city-state pairs are consistent throughout the database.,,,FALSE
Quality assurance teams regularly review these relationships as part of routine data integrity assessments.,O,Verify that quality assurance teams regularly review these relationships as part of routine data integrity assessments.,,,FALSE
The system maintains sophisticated relationships between salary and tax rate information to ensure logical consistency in financial calculations.,O,Verify that all relationships between salary and tax rate information are logically consistent for financial calculations.,,,FALSE
"Within the same state, a person with lower salary cannot have higher tax rate.",D,"Verify that within the same state, any person with a lower salary does not have a higher tax rate than a person with a higher salary.","[""t1.state = t2.state"", ""t1.salary < t2.salary"", ""t1.rate > t2.rate""]","SELECT * FROM tax t1, tax t2 WHERE t1.state = t2.state AND t1.salary < t2.salary AND t1.rate > t2.rate",TRUE
This principle reflects progressive tax structures where higher earners typically face higher rates within the same jurisdiction.,O,"Verify that within the same jurisdiction, all higher earners are subject to higher tax rates.",,,FALSE
Exemption amounts play a crucial role in tax calculations and must maintain logical relationships with income levels.,D,Verify that all exemption amounts maintain logical relationships with income levels.,,,FALSE
A person single tax exemption cannot be greater than his salary.,D,"Verify that for each person, their single tax exemption is not greater than their salary.","[""t1.singleexemp > t1.salary""]",SELECT * FROM tax t1 WHERE t1.singleexemp > t1.salary,TRUE
"Typically, exemptions represent a percentage or fixed amount that scales appropriately with income levels rather than exceeding total earnings.",O,"Verify that all exemptions, whether they are a percentage or a fixed amount, scale appropriately with income levels and do not exceed the total earnings.",,,FALSE
